Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720548080785478406,9.814035,-0.507210,1.062270,-0.021294480,-0.021294480,0.019165032
1720548080795477176,9.837960,-0.473715,1.095765,-0.022359204,-0.022359204,0.019165032
1720548080805476256,9.823605,-0.473715,1.081410,-0.022359204,-0.022359204,0.019165032
1720548080815475096,9.876240,-0.478500,1.090980,-0.021294480,-0.022359204,0.019165032
1720548080825473806,9.780540,-0.468930,1.095765,-0.021294480,-0.022359204,0.018100308
1720548080835472566,9.833175,-0.445005,1.004850,-0.022359204,-0.022359204,0.018100308
1720548080845471496,9.823605,-0.473715,1.067055,-0.021294480,-0.023423928,0.018100308
1720548080855470576,9.828390,-0.483285,1.062270,-0.021294480,-0.023423928,0.018100308
1720548080865470066,9.818820,-0.478500,1.052700,-0.021294480,-0.022359204,0.018100308
1720548080875469586,9.823605,-0.468930,1.047915,-0.021294480,-0.022359204,0.018100308
1720548080885468826,9.823605,-0.488070,1.052700,-0.021294480,-0.023423928,0.018100308
1720548080895468016,9.828390,-0.483285,1.076625,-0.021294480,-0.024488652,0.018100308
1720548080905467986,9.866670,-0.511995,1.071840,-0.021294480,-0.023423928,0.019165032
1720548080915467146,9.814035,-0.473715,1.052700,-0.021294480,-0.021294480,0.019165032
1720548080925466376,9.833175,-0.468930,1.019205,-0.021294480,-0.022359204,0.019165032
1720548080935465606,9.837960,-0.492855,1.009635,-0.021294480,-0.023423928,0.018100308
1720548080945464296,9.818820,-0.445005,1.081410,-0.021294480,-0.023423928,0.019165032
1720548080955463226,9.814035,-0.473715,1.081410,-0.022359204,-0.022359204,0.018100308
1720548080965461726,9.842745,-0.483285,1.067055,-0.021294480,-0.022359204,0.018100308
1720548080975460366,9.785325,-0.483285,1.100550,-0.021294480,-0.022359204,0.019165032
1720548080985459016,9.823605,-0.478500,1.043130,-0.022359204,-0.022359204,0.018100308
