Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720717489885646863,10.058070,0.167475,1.909215,-0.036200616,-0.019165032,-0.046847856
1720717489895644243,10.024575,0.167475,1.870935,-0.038330064,-0.019165032,-0.045783132
1720717489905641803,10.043715,0.177045,1.890075,-0.037265340,-0.019165032,-0.045783132
1720717489915639243,10.058070,0.153120,1.885290,-0.037265340,-0.019165032,-0.045783132
1720717489925636623,10.058070,0.157905,1.870935,-0.036200616,-0.019165032,-0.046847856
1720717489935634213,10.029360,0.162690,1.909215,-0.036200616,-0.020229756,-0.046847856
1720717489945631613,10.053285,0.157905,1.885290,-0.037265340,-0.020229756,-0.046847856
1720717489955629103,10.053285,0.143550,1.899645,-0.036200616,-0.019165032,-0.046847856
1720717489965626813,10.053285,0.172260,1.856580,-0.037265340,-0.019165032,-0.046847856
1720717489975624023,10.081995,0.172260,1.880505,-0.037265340,-0.020229756,-0.046847856
1720717489985620793,10.058070,0.157905,1.880505,-0.037265340,-0.020229756,-0.046847856
1720717489995618643,10.072425,0.153120,1.880505,-0.037265340,-0.019165032,-0.046847856
1720717490005615683,10.077210,0.133980,1.890075,-0.038330064,-0.020229756,-0.046847856
1720717490015612623,10.067640,0.167475,1.870935,-0.037265340,-0.019165032,-0.046847856
1720717490025609063,10.053285,0.167475,1.875720,-0.037265340,-0.019165032,-0.046847856
1720717490035605523,10.024575,0.133980,1.875720,-0.037265340,-0.019165032,-0.045783132
1720717490045602463,10.034145,0.162690,1.866150,-0.037265340,-0.020229756,-0.046847856
1720717490055599353,10.067640,0.157905,1.937925,-0.036200616,-0.019165032,-0.046847856
1720717490065597113,10.053285,0.148335,1.856580,-0.037265340,-0.019165032,-0.046847856
1720717490075593703,10.062855,0.167475,1.842225,-0.036200616,-0.018100308,-0.047912580
1720717490085590773,10.053285,0.133980,1.885290,-0.037265340,-0.019165032,-0.046847856
1720717490095588433,10.034145,0.153120,1.875720,-0.037265340,-0.019165032,-0.046847856
1720717490105585273,10.058070,0.167475,1.875720,-0.036200616,-0.019165032,-0.047912580
1720717490115582933,10.038930,0.157905,1.847010,-0.036200616,-0.019165032,-0.046847856
1720717490125579853,10.038930,0.157905,1.875720,-0.037265340,-0.019165032,-0.046847856
1720717490135577033,10.053285,0.153120,1.875720,-0.037265340,-0.019165032,-0.045783132
1720717490145574243,10.034145,0.162690,1.885290,-0.037265340,-0.020229756,-0.045783132
1720717490155572903,10.038930,0.172260,1.880505,-0.037265340,-0.019165032,-0.046847856
1720717490165570153,10.029360,0.162690,1.904430,-0.036200616,-0.020229756,-0.046847856
1720717490175567613,10.077210,0.129195,1.899645,-0.037265340,-0.019165032,-0.046847856
1720717490185564663,10.038930,0.162690,1.875720,-0.037265340,-0.020229756,-0.046847856
1720717490195561703,10.038930,0.148335,1.885290,-0.037265340,-0.019165032,-0.046847856
1720717490205558983,10.029360,0.157905,1.928355,-0.037265340,-0.019165032,-0.046847856
1720717490215555733,10.043715,0.162690,1.861365,-0.037265340,-0.019165032,-0.046847856
1720717490225552383,10.029360,0.181830,1.894860,-0.037265340,-0.019165032,-0.046847856
1720717490235549133,10.034145,0.157905,1.909215,-0.037265340,-0.019165032,-0.046847856
1720717490245546623,10.058070,0.162690,1.894860,-0.036200616,-0.019165032,-0.045783132
1720717490255543293,10.048500,0.157905,1.914000,-0.037265340,-0.020229756,-0.046847856
1720717490265539893,10.034145,0.157905,1.885290,-0.037265340,-0.019165032,-0.046847856
1720717490275536153,10.053285,0.181830,1.914000,-0.037265340,-0.019165032,-0.046847856
1720717490285532443,10.038930,0.172260,1.870935,-0.037265340,-0.019165032,-0.045783132
1720717490295528793,10.043715,0.162690,1.870935,-0.036200616,-0.019165032,-0.046847856
1720717490305525583,10.053285,0.138765,1.875720,-0.037265340,-0.020229756,-0.046847856
1720717490315521483,10.053285,0.177045,1.875720,-0.037265340,-0.019165032,-0.047912580
1720717490325518783,10.053285,0.157905,1.870935,-0.036200616,-0.019165032,-0.045783132
1720717490335515523,10.067640,0.157905,1.861365,-0.037265340,-0.020229756,-0.046847856
1720717490345512203,10.067640,0.172260,1.856580,-0.037265340,-0.019165032,-0.046847856
