Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720727222201894205,10.053285,-1.344585,0.143550,-0.040459512,-0.019165032,-0.040459512
1720727222211890885,10.034145,-1.320660,0.177045,-0.039394788,-0.019165032,-0.041524236
1720727222221887905,10.062855,-1.325445,0.210540,-0.038330064,-0.020229756,-0.041524236
1720727222231884705,10.062855,-1.358940,0.196185,-0.039394788,-0.020229756,-0.040459512
1720727222241881625,10.029360,-1.311090,0.248820,-0.039394788,-0.021294480,-0.040459512
1720727222251878415,10.048500,-1.296735,0.272745,-0.039394788,-0.022359204,-0.039394788
1720727222261876055,10.053285,-1.335015,0.224895,-0.041524236,-0.023423928,-0.038330064
1720727222271872865,10.048500,-1.344585,0.191400,-0.042588960,-0.022359204,-0.038330064
1720727222281869555,10.072425,-1.373295,0.172260,-0.043653684,-0.023423928,-0.038330064
1720727222291866575,10.058070,-1.378080,0.196185,-0.041524236,-0.025553376,-0.038330064
1720727222301863345,10.034145,-1.363725,0.181830,-0.039394788,-0.026618100,-0.038330064
1720727222311860225,10.077210,-1.392435,0.153120,-0.040459512,-0.025553376,-0.039394788
1720727222321857025,10.058070,-1.392435,0.133980,-0.042588960,-0.024488652,-0.038330064
1720727222331853705,10.038930,-1.406790,0.133980,-0.043653684,-0.022359204,-0.038330064
1720727222341850215,10.019790,-1.416360,0.105270,-0.039394788,-0.021294480,-0.040459512
1720727222351845995,10.048500,-1.349370,0.105270,-0.038330064,-0.019165032,-0.040459512
1720727222361842735,10.038930,-1.387650,0.143550,-0.039394788,-0.018100308,-0.041524236
1720727222371839045,10.029360,-1.382865,0.133980,-0.037265340,-0.017035584,-0.042588960
1720727222381835195,10.067640,-1.330230,0.114840,-0.038330064,-0.017035584,-0.042588960
1720727222391831575,10.072425,-1.368510,0.138765,-0.037265340,-0.014906136,-0.043653684
1720727222401827835,10.005435,-1.363725,0.215325,-0.037265340,-0.015970860,-0.043653684
1720727222411823585,10.029360,-1.354155,0.282315,-0.036200616,-0.017035584,-0.043653684
1720727222421819475,10.038930,-1.344585,0.258390,-0.037265340,-0.018100308,-0.042588960
1720727222431815865,10.062855,-1.306305,0.234465,-0.037265340,-0.019165032,-0.042588960
1720727222441812185,10.067640,-1.325445,0.248820,-0.038330064,-0.020229756,-0.041524236
1720727222451807235,10.058070,-1.335015,0.244035,-0.040459512,-0.020229756,-0.041524236
1720727222461803615,10.038930,-1.335015,0.220110,-0.039394788,-0.022359204,-0.040459512
1720727222471798085,10.053285,-1.354155,0.191400,-0.041524236,-0.022359204,-0.040459512
1720727222481794195,10.043715,-1.320660,0.205755,-0.041524236,-0.022359204,-0.039394788
1720727222491789645,10.038930,-1.411575,0.157905,-0.042588960,-0.023423928,-0.038330064
